Query_number,doc_number
1,373041
1,377821
1,384587
1,288074
1,368279
1,348831
1,54805
1,289616
1,221167
1,156936
2,195084
2,188507
2,428907
2,164403
2,406264
2,360485
2,183715
2,249151
2,43423
2,347387
3,2597
3,74214
3,412243
3,22348
3,10793
3,389228
3,5024
3,287035
3,428931
3,95119
4,289875
4,215320
4,286212
4,422050
4,90548
4,129737
4,263966
4,501271
4,240685
4,500016
5,350810
5,429555
5,258900
5,139553
5,122303
5,266525
5,386962
5,319411
5,279740
5,4844
6,82131
6,453292
6,294577
6,372078
6,85102
6,342088
6,389393
6,352554
6,77104
6,153297
7,199107
7,29840
7,422407
7,302161
7,444818
7,453178
7,306271
7,447103
7,268736
7,109002
8,401711
8,14705
8,109001
8,403438
8,405570
8,102418
8,415854
8,362404
8,201892
8,95204
9,95059
9,102770
9,325779
9,357689
9,62523
9,382221
9,300646
9,255713
9,359521
9,99688
10,89072
10,67533
10,298045
10,297761
10,294810
10,205076
10,259500
10,212446
10,169545
10,57535
11,17238
11,209639
11,68442
11,139959
11,431779
11,275918
11,227359
11,445355
11,166011
11,365950
12,267626
12,3976
12,374216
12,18321
12,348676
12,332436
12,356707
12,400928
12,138501
12,240611
13,79603
13,164486
13,481938
13,5647
13,163563
13,148453
13,388857
13,180017
13,121399
13,114738
14,426510
14,236786
14,463695
14,364206
14,99851
14,482219
14,448411
14,98162
14,396573
14,35870
15,14387
15,107973
15,346231
15,331793
15,449456
15,442250
15,90609
15,338007
15,284662
15,237381
16,310790
16,431916
16,441117
16,407968
16,385314
16,72839
16,475388
16,183056
16,298531
16,241652
17,419231
17,429186
17,293417
17,107586
17,80311
17,266241
17,46101
17,76700
17,103236
17,488744
18,426872
18,19726
18,179059
18,96953
18,297309
18,24757
18,350565
18,273288
18,180646
18,314322
19,50831
19,5887
19,324254
19,277203
19,342368
19,85086
19,465360
19,222409
19,148531
19,141930
20,446893
20,434669
20,197720
20,439506
20,30746
20,89450
20,116027
20,347649
20,441672
20,362713
21,389777
21,229100
21,438632
21,250951
21,52407
21,325730
21,218008
21,49082
21,73600
21,103510
22,294660
22,229839
22,26765
22,278511
22,132077
22,346310
22,33323
22,285947
22,139205
22,206809
23,92263
23,140701
23,163112
23,54983
23,332471
23,39061
23,139429
23,64203
23,136861
23,239461
24,451729
24,281834
24,297935
24,238510
24,283472
24,135264
24,15626
24,51480
24,271127
24,345546
25,420248
25,10519
25,150286
25,307676
25,22676
25,279642
25,131266
25,57632
25,100578
25,107234
26,88548
26,94651
26,486604
26,314902
26,488280
26,157697
26,152424
26,328820
26,361428
26,416437
27,290689
27,437129
27,8287
27,200193
27,355134
27,169225
27,498510
27,249824
27,346204
27,219169
28,199690
28,67638
28,292675
28,204911
28,484493
28,457684
28,10057
28,403359
28,189580
28,412889
29,134929
29,177542
29,448073
29,229075
29,174789
29,100709
29,215162
29,176132
29,83069
29,306701
30,471094
30,131235
30,329742
30,456355
30,398536
30,343204
30,187886
30,224425
30,454907
30,458580
31,418970
31,65801
31,469361
31,320692
31,328608
31,323226
31,182994
31,54204
31,256040
31,459798
32,323197
32,123573
32,276378
32,6336
32,343798
32,348506
32,66991
32,41366
32,307025
32,139660
33,367
33,441478
33,110010
33,98789
33,252089
33,452261
33,199273
33,114182
33,348784
33,112984
34,97141
34,432980
34,240685
34,118580
34,16636
34,395012
34,287593
34,259142
34,356151
34,180522
35,484498
35,402288
35,346623
35,122496
35,63958
35,431179
35,388582
35,53242
35,433528
35,485150
36,394974
36,268490
36,367447
36,193548
36,309149
36,210099
36,360706
36,250789
36,68452
36,424466
37,11073
37,38642
37,256130
37,395664
37,85904
37,321799
37,315284
37,499355
37,41564
37,256358
38,172654
38,296430
38,227054
38,72344
38,434468
38,431943
38,93003
38,119495
38,45464
38,82648
39,99133
39,363436
39,125945
39,88965
39,444586
39,371634
39,169598
39,281031
39,259695
39,160183
40,321141
40,299410
40,198985
40,126143
40,36685
40,323890
40,329548
40,195142
40,318882
40,371921
41,15039
41,244652
41,324740
41,486519
41,464086
41,172900
41,119361
41,405407
41,288824
41,329513
42,499471
42,247726
42,394194
42,381527
42,132139
42,382110
42,208993
42,118460
42,199843
42,237794
43,165246
43,171753
43,299325
43,229206
43,367586
43,328713
43,255168
43,6314
43,378863
43,351331
44,312358
44,58551
44,171892
44,263545
44,365215
44,388795
44,420806
44,98107
44,156248
44,384034
45,23547
45,131350
45,263855
45,39299
45,212865
45,83702
45,464655
45,327960
45,321257
45,190476
46,139404
46,154061
46,149700
46,371458
46,378619
46,258520
46,358576
46,274882
46,287720
46,395427
47,10185
47,343370
47,201494
47,80146
47,129774
47,38924
47,448707
47,265427
47,476281
47,320327
48,71786
48,383295
48,144509
48,333055
48,62861
48,236729
48,360064
48,205444
48,491144
48,354021
49,371479
49,417341
49,271948
49,199361
49,131365
49,259879
49,185747
49,131626
49,476780
49,331219
50,338102
50,233609
50,426093
50,249312
50,257155
50,497189
50,253048
50,389755
50,33889
50,5463
51,357166
51,80112
51,222414
51,384781
51,300595
51,216059
51,341899
51,304989
51,242309
51,297317
52,454673
52,13858
52,450649
52,79102
52,19554
52,136874
52,377444
52,361137
52,224221
52,427477
53,194610
53,459994
53,112064
53,220315
53,385382
53,368700
53,68424
53,325931
53,387297
53,149080
54,299565
54,437607
54,80295
54,279030
54,13740
54,322551
54,49272
54,68925
54,110213
54,206418
55,496301
55,316431
55,224260
55,295247
55,388462
55,486080
55,340278
55,336064
55,30429
55,389853
56,376177
56,155274
56,121461
56,48516
56,70176
56,405520
56,219463
56,43582
56,370018
56,417067
57,454701
57,298359
57,287255
57,15177
57,296235
57,30874
57,393967
57,3992
57,467420
57,24744
58,154839
58,205272
58,152581
58,120793
58,409750
58,415780
58,222904
58,152493
58,257742
58,29243
59,91335
59,202275
59,478284
59,493135
59,268847
59,449525
59,134134
59,179049
59,321754
59,256066
60,94184
60,428845
60,125593
60,471708
60,135149
60,14106
60,307079
60,304264
60,89589
60,284131
61,112372
61,122440
61,225492
61,426025
61,304537
61,299461
61,478223
61,19952
61,161109
61,276166
62,466737
62,386021
62,83286
62,421084
62,147005
62,378354
62,381004
62,203930
62,339614
62,317718
63,80382
63,339897
63,159228
63,485235
63,291348
63,38215
63,488952
63,386245
63,352032
63,26582
64,385068
64,110673
64,11770
64,206784
64,153941
64,105741
64,174720
64,12443
64,180256
64,309022
65,303337
65,402460
65,250377
65,114846
65,226480
65,24856
65,179638
65,231427
65,426911
65,85130
66,229986
66,76909
66,485028
66,236532
66,285853
66,27170
66,30575
66,375882
66,455049
66,488513
67,20780
67,447167
67,215073
67,254177
67,131113
67,319525
67,269782
67,300712
67,253374
67,361283
68,379148
68,353217
68,395130
68,3152
68,281908
68,166403
68,478414
68,226126
68,471136
68,91111
69,13547
69,274100
69,223255
69,294789
69,238600
69,177148
69,276771
69,139929
69,23769
69,437877
70,355140
70,359721
70,468873
70,28845
70,92505
70,461417
70,273929
70,272897
70,358467
70,17055
71,386686
71,453546
71,380437
71,320040
71,90208
71,467913
71,119538
71,148420
71,70553
71,151168
72,339779
72,240832
72,181180
72,122158
72,372382
72,484900
72,409901
72,226542
72,97109
72,308655
73,369905
73,464656
73,358881
73,302891
73,169836
73,83061
73,267712
73,391823
73,482631
73,89614
74,321787
74,214036
74,466473
74,111097
74,45918
74,318729
74,406437
74,272732
74,439366
74,257633
75,395193
75,18528
75,464230
75,173811
75,321313
75,87091
75,252178
75,474253
75,99068
75,60644
76,429577
76,235442
76,263644
76,63295
76,440570
76,396127
76,269432
76,13728
76,284322
76,18717
77,134499
77,225366
77,310275
77,157199
77,424175
77,180425
77,407554
77,29164
77,213960
77,329677
78,334959
78,285134
78,78154
78,118627
78,421881
78,358860
78,87435
78,17700
78,349700
78,20065
79,256331
79,89739
79,152567
79,321911
79,179182
79,158312
79,339704
79,341539
79,416073
79,215974
80,472808
80,10634
80,129621
80,135403
80,498419
80,334928
80,444071
80,483557
80,334979
80,167294
81,110406
81,182637
81,180570
81,343557
81,389229
81,199545
81,129206
81,453537
81,8499
81,309599
82,176354
82,409551
82,247970
82,323005
82,49213
82,446633
82,123968
82,292325
82,284771
82,440738
83,334547
83,153341
83,381056
83,260713
83,178742
83,37735
83,40469
83,116260
83,309322
83,421373
84,80022
84,74764
84,414479
84,92040
84,139818
84,101432
84,94608
84,64192
84,163512
84,213865
85,300881
85,32289
85,486393
85,276183
85,461503
85,200087
85,1233
85,69377
85,249428
85,293182
86,463089
86,163112
86,153729
86,390721
86,346167
86,85952
86,273061
86,38864
86,400229
86,429506
87,106784
87,4147
87,213558
87,240890
87,337505
87,14893
87,198567
87,282058
87,116450
87,283115
88,434155
88,138572
88,133830
88,246706
88,241165
88,220472
88,57290
88,164839
88,351987
88,106467
89,77494
89,486392
89,103017
89,467770
89,250857
89,73608
89,9137
89,198873
89,295295
89,324876
90,338432
90,394652
90,127554
90,354720
90,310025
90,23374
90,372850
90,157937
90,45279
90,313396
91,485156
91,289526
91,112105
91,174979
91,318111
91,382289
91,283512
91,50027
91,131921
91,442029
92,460013
92,210522
92,180638
92,133533
92,119981
92,189824
92,167611
92,500016
92,432508
92,361575
93,37679
93,78555
93,29557
93,347171
93,87724
93,285071
93,239671
93,109860
93,154267
93,406909
94,315371
94,497960
94,442822
94,477584
94,71071
94,171907
94,242683
94,497939
94,365430
94,79963
95,40499
95,363036
95,208885
95,279535
95,131266
95,497981
95,173545
95,353896
95,288337
95,44015
96,82671
96,443699
96,236544
96,420327
96,271426
96,364886
96,46769
96,317419
96,423678
96,261794
97,23790
97,112233
97,131038
97,140820
97,115576
97,500265
97,391037
97,367836
97,199921
97,269778
98,185679
98,17949
98,338440
98,132641
98,24343
98,249389
98,376537
98,280224
98,366777
98,222340
99,284702
99,115894
99,186258
99,44501
99,393636
99,259041
99,313286
99,352820
99,468429
99,373884
100,118968
100,185371
100,459651
100,158595
100,201690
100,486724
100,288901
100,279656
100,88537
100,292187
101,477299
101,354773
101,133323
101,212103
101,196413
101,432009
101,100749
101,147529
101,194841
101,371592
102,362587
102,325299
102,480036
102,199272
102,139472
102,216437
102,102426
102,165158
102,81869
102,138073
103,106929
103,407263
103,179596
103,376889
103,205666
103,320477
103,305125
103,70090
103,77126
103,476295
104,494533
104,485515
104,124762
104,430295
104,198477
104,331848
104,455972
104,771
104,358903
104,1770
105,492645
105,492374
105,308797
105,2380
105,149893
105,18345
105,284571
105,68220
105,337372
105,197031
106,322486
106,206199
106,264340
106,290847
106,199961
106,76636
106,258582
106,148645
106,230508
106,237605
107,455660
107,498378
